抽せん日,本数字,回別,ストレート,ボックス,セット(ストレート),セット(ボックス),ミニ
1994-10-07,"[1, 9, 1]",第1回,,,,,
1994-10-14,"[9, 8, 8]",第2回,,,,,
1994-10-21,"[1, 9, 4]",第3回,,,,,
1994-10-28,"[1, 0, 5]",第4回,,,,,
1994-11-04,"[5, 9, 2]",第5回,,,,,
1994-11-11,"[7, 9, 2]",第6回,,,,,
1994-11-18,"[7, 0, 8]",第7回,,,,,
1994-11-25,"[2, 3, 4]",第8回,,,,,
1994-12-02,"[2, 4, 3]",第9回,,,,,
1994-12-09,"[3, 4, 0]",第10回,,,,,
1994-12-16,"[3, 2, 6]",第11回,,,,,
1994-12-23,"[2, 4, 7]",第12回,,,,,
1994-12-30,"[2, 2, 9]",第13回,,,,,
1995-01-06,"[7, 4, 3]",第14回,,,,,
1995-01-10,"[0, 1, 9]",第15回,,,,,
1995-01-13,"[1, 7, 9]",第16回,,,,,
1995-01-17,"[4, 7, 5]",第17回,,,,,
1995-01-20,"[2, 9, 1]",第18回,,,,,
1995-01-24,"[8, 5, 2]",第19回,,,,,
1995-01-27,"[5, 0, 2]",第20回,,,,,
1995-01-31,"[5, 5, 8]",第21回,,,,,
1995-02-03,"[9, 5, 1]",第22回,,,,,
1995-02-07,"[9, 1, 2]",第23回,,,,,
1995-02-10,"[0, 3, 9]",第24回,,,,,
1995-02-14,"[4, 5, 8]",第25回,,,,,
1995-02-17,"[9, 8, 4]",第26回,,,,,
1995-02-21,"[9, 1, 7]",第27回,,,,,
1995-02-24,"[7, 8, 9]",第28回,,,,,
1995-02-28,"[5, 8, 9]",第29回,,,,,
1995-03-03,"[7, 2, 5]",第30回,,,,,
1995-03-07,"[0, 7, 3]",第31回,,,,,
1995-03-10,"[5, 4, 7]",第32回,,,,,
1995-03-14,"[0, 6, 3]",第33回,,,,,
1995-03-17,"[6, 3, 4]",第34回,,,,,
1995-03-21,"[3, 3, 3]",第35回,,,,,
1995-03-24,"[4, 0, 5]",第36回,,,,,
1995-03-28,"[1, 6, 8]",第37回,,,,,
1995-03-31,"[3, 8, 9]",第38回,,,,,
1995-04-04,"[5, 8, 7]",第39回,,,,,
1995-04-07,"[3, 0, 4]",第40回,,,,,
1995-04-11,"[0, 4, 8]",第41回,,,,,
1995-04-14,"[2, 2, 8]",第42回,,,,,
1995-04-18,"[9, 2, 2]",第43回,,,,,
1995-04-21,"[6, 9, 7]",第44回,,,,,
1995-04-25,"[9, 7, 0]",第45回,,,,,
1995-04-28,"[2, 9, 8]",第46回,,,,,
1995-05-02,"[9, 8, 9]",第47回,,,,,
1995-05-05,"[2, 0, 2]",第48回,,,,,
1995-05-09,"[4, 7, 6]",第49回,,,,,
1995-05-12,"[0, 4, 2]",第50回,,,,,
1995-05-16,"[8, 0, 2]",第51回,,,,,
1995-05-19,"[7, 1, 7]",第52回,,,,,
1995-05-23,"[8, 8, 9]",第53回,,,,,
1995-05-26,"[2, 2, 6]",第54回,,,,,
1995-05-30,"[7, 2, 8]",第55回,,,,,
1995-06-02,"[9, 2, 9]",第56回,,,,,
1995-06-06,"[8, 3, 6]",第57回,,,,,
1995-06-09,"[3, 8, 3]",第58回,,,,,
1995-06-13,"[4, 1, 0]",第59回,,,,,
1995-06-16,"[9, 8, 0]",第60回,,,,,
1995-06-20,"[5, 4, 2]",第61回,,,,,
1995-06-23,"[7, 2, 5]",第62回,,,,,
1995-06-27,"[2, 5, 1]",第63回,,,,,
1995-06-30,"[2, 6, 0]",第64回,,,,,
1995-07-04,"[5, 8, 8]",第65回,,,,,
1995-07-07,"[5, 1, 2]",第66回,,,,,
1995-07-11,"[5, 1, 2]",第67回,,,,,
1995-07-14,"[7, 5, 0]",第68回,,,,,
1995-07-18,"[9, 0, 2]",第69回,,,,,
1995-07-21,"[9, 6, 3]",第70回,,,,,
1995-07-25,"[6, 6, 1]",第71回,,,,,
1995-07-28,"[8, 7, 9]",第72回,,,,,
1995-08-01,"[4, 5, 2]",第73回,,,,,
1995-08-04,"[1, 7, 4]",第74回,,,,,
1995-08-08,"[2, 8, 3]",第75回,,,,,
1995-08-11,"[2, 3, 8]",第76回,,,,,
1995-08-15,"[9, 7, 2]",第77回,,,,,
1995-08-18,"[2, 4, 1]",第78回,,,,,
1995-08-22,"[3, 1, 0]",第79回,,,,,
1995-08-25,"[8, 8, 2]",第80回,,,,,
1995-08-29,"[2, 6, 9]",第81回,,,,,
1995-09-01,"[1, 4, 4]",第82回,,,,,
1995-09-05,"[1, 7, 4]",第83回,,,,,
1995-09-08,"[8, 8, 2]",第84回,,,,,
1995-09-12,"[3, 0, 7]",第85回,,,,,
1995-09-15,"[8, 6, 4]",第86回,,,,,
1995-09-19,"[3, 7, 0]",第87回,,,,,
1995-09-22,"[7, 3, 9]",第88回,,,,,
1995-09-26,"[6, 9, 7]",第89回,,,,,
1995-09-29,"[6, 8, 9]",第90回,,,,,
1995-10-03,"[1, 6, 8]",第91回,,,,,
1995-10-06,"[9, 5, 7]",第92回,,,,,
1995-10-10,"[9, 1, 0]",第93回,,,,,
1995-10-13,"[9, 3, 3]",第94回,,,,,
1995-10-17,"[3, 0, 6]",第95回,,,,,
1995-10-20,"[9, 4, 4]",第96回,,,,,
1995-10-24,"[9, 8, 8]",第97回,,,,,
1995-10-27,"[5, 6, 2]",第98回,,,,,
1995-10-31,"[5, 7, 1]",第99回,,,,,
1995-11-03,"[8, 9, 9]",第100回,,,,,
1995-11-07,"[9, 4, 5]",第101回,,,,,
1995-11-10,"[5, 6, 0]",第102回,,,,,
1995-11-14,"[8, 2, 4]",第103回,,,,,
1995-11-17,"[6, 1, 0]",第104回,,,,,
1995-11-21,"[6, 1, 9]",第105回,,,,,
1995-11-24,"[0, 8, 6]",第106回,,,,,
1995-11-28,"[0, 8, 2]",第107回,,,,,
1995-12-01,"[2, 5, 4]",第108回,,,,,
1995-12-05,"[1, 9, 1]",第109回,,,,,
1995-12-08,"[3, 8, 5]",第110回,,,,,
1995-12-12,"[0, 5, 6]",第111回,,,,,
1995-12-15,"[1, 6, 7]",第112回,,,,,
1995-12-19,"[7, 4, 4]",第113回,,,,,
1995-12-22,"[2, 0, 5]",第114回,,,,,
1995-12-26,"[7, 7, 0]",第115回,,,,,
1995-12-29,"[3, 6, 6]",第116回,,,,,
1996-01-05,"[9, 5, 2]",第117回,,,,,
1996-01-09,"[6, 3, 5]",第118回,,,,,
1996-01-12,"[9, 5, 2]",第119回,,,,,
1996-01-16,"[6, 5, 0]",第120回,,,,,
1996-01-19,"[4, 3, 9]",第121回,,,,,
1996-01-23,"[4, 5, 8]",第122回,,,,,
1996-01-26,"[5, 1, 3]",第123回,,,,,
1996-01-30,"[8, 6, 3]",第124回,,,,,
1996-02-02,"[4, 0, 9]",第125回,,,,,
1996-02-06,"[3, 1, 8]",第126回,,,,,
1996-02-09,"[2, 1, 7]",第127回,,,,,
1996-02-13,"[8, 5, 5]",第128回,,,,,
1996-02-16,"[6, 2, 0]",第129回,,,,,
1996-02-20,"[5, 5, 9]",第130回,,,,,
1996-02-23,"[8, 2, 0]",第131回,,,,,
1996-02-27,"[0, 1, 6]",第132回,,,,,
1996-03-01,"[9, 2, 6]",第133回,,,,,
1996-03-05,"[6, 0, 3]",第134回,,,,,
1996-03-08,"[4, 5, 4]",第135回,,,,,
1996-03-12,"[2, 9, 5]",第136回,,,,,
1996-03-15,"[8, 1, 9]",第137回,,,,,
